default,balance
0,729.5264952
0,817.1804066
0,1073.549164
0,529.2506047
0,785.6558829
0,919.5885305
0,825.5133305
0,808.6675043
0,1161.057854
0,0
0,0
0,1220.583753
0,237.045114
0,606.7423433
0,1112.968401
0,286.2325601
0,0
0,527.5401841
0,485.9368642
0,1095.072735
0,228.9525496
0,954.2617928
0,1055.956605
0,641.9843888
0,773.2117245
0,855.0085225
0,642.9997385
0,1454.863272
0,615.7042766
0,1119.569353
0,494.8162288
0,448.8806563
0,584.9048947
0,913.5871726
0,1423.938917
0,1499.724657
0,692.0341671
0,351.4534715
0,742.6276208
0,653.1184001
0,872.1386795
0,837.2626228
0,1151.630566
0,220.5556084
0,1690.23441
0,408.7729143
0,1238.610321
0,1228.30835
0,820.9192041
0,857.4851178
0,563.6181772
0,1282.972534
0,1505.782675
0,904.0402591
0,0
0,1294.497347
0,1275.550633
0,1536.594601
0,1332.522644
0,492.0797678
0,766.2343793
0,690.1272462
0,0
0,1480.655309
0,989.055597
0,1302.341835
0,1044.552343
0,0
0,866.0284364
0,690.8007924
0,597.757142
0,429.4854023
0,1398.156201
0,1578.064099
0,857.0690531
0,752.459946
0,774.738427
0,728.3732513
0,76.99129053
0,196.4569131
0,948.7479184
0,431.9208853
0,461.6381822
0,572.0157602
0,335.5681447
0,510.2375932
0,1005.161306
0,162.4544511
0,932.5331557
0,893.3304676
0,1332.782564
0,1404.383069
0,1148.965139
0,368.2234257
0,449.4666288
0,820.0171126
0,619.7518686
0,1047.718124
0,243.8413283
0,186.5003869
0,1422.018488
0,383.798659
0,1159.435096
0,882.9919126
0,1463.232892
0,1722.355846
0,773.9218613
0,958.1694185
0,1207.53273
0,1056.61083
0,117.6424839
0,596.9641192
0,0
0,541.6627553
0,1119.178303
0,810.3209365
0,271.5514377
0,1114.403237
0,867.0308281
0,1176.789402
0,610.2278187
0,272.6156617
0,449.7350858
0,827.7672094
0,430.0000994
0,0
0,1557.344637
0,928.2369663
0,1373.450163
0,951.0729075
0,1292.210869
0,582.1887007
0,339.4246383
0,409.9823246
0,1216.45151
0,598.4613921
1,1486.998122
0,943.7963387
0,0
0,996.2760868
0,748.3013404
0,324.7379218
0,575.3821585
0,441.7382849
0,1188.64218
0,95.14768019
0,1015.614837
0,1258.567393
0,1178.244414
0,731.5326563
0,350.0887921
0,418.8483454
0,533.2294652
0,95.29697413
0,1453.005932
0,352.644414
0,736.2389355
0,1306.484572
0,1149.145627
0,703.2268907
0,1360.800435
0,31.44508054
0,988.2144581
0,360.0190736
0,647.4835286
0,0
0,445.2418192
0,878.5420645
0,335.8341186
0,666.6088814
0,813.876647
0,836.3000716
0,967.4826837
1,2205.799521
0,1258.185219
0,1239.801699
0,0
0,927.8877323
0,1390.030783
0,410.4977048
0,73.07654218
0,790.5977592
0,789.495097
0,791.3604221
0,479.042379
0,888.6132726
0,1284.386361
0,712.2763513
0,1290.620169
0,126.3626854
0,779.3762577
0,697.4909575
0,606.9746135
0,1802.903334
0,900.0853326
0,966.280288
0,671.0613596
0,171.559116
0,1482.4803
0,640.6627517
0,706.1610275
1,1774.694223
0,916.4993169
0,1271.270812
0,110.5729098
0,1747.258882
1,1889.59919
0,27.20139465
0,746.2297751
1,1899.390626
0,813.9945655
0,499.4578151
0,853.1613317
0,474.7273191
0,1235.876113
0,620.6751526
0,220.0285698
0,1304.914299
0,1608.15256
0,256.4712276
0,1153.604998
0,771.8958745
0,1099.630422
0,782.8830297
0,444.2649062
0,504.0283787
0,1762.503402
0,850.0961166
0,1412.238721
0,715.4968296
0,1363.528599
0,493.2418898
0,1354.752537
0,571.293911
0,956.1513522
0,964.820253
0,552.634366
0,338.2662016
0,709.1233514
0,978.9782004
0,371.0101278
1,1572.856481
0,0
1,1964.476872
0,548.0377834
0,1257.055222
0,1189.918057
0,687.683759
0,845.6989658
0,957.6848338
0,233.5168463
0,1126.948744
0,488.8551765
0,767.9035598
0,561.9257991
0,1092.270013
0,71.788683
0,1839.143682
0,876.0007779
0,554.1078115
0,891.3178981
0,464.8363331
0,563.5426611
1,1530.353157
0,990.5670262
0,590.3997865
0,715.1641096
0,1540.377727
0,1243.326518
0,235.3284999
0,528.2543232
0,592.2538956
0,705.204972
0,456.515644
0,470.7175747
0,1503.07513
0,1362.965595
0,908.7715737
0,1096.820272
0,369.2219425
0,673.399899
0,1038.500008
0,0
0,527.1940866
0,817.4693368
0,1549.042755
0,566.7137894
0,1496.056465
0,862.6566564
0,1259.149418
0,1025.038833
0,703.2777871
0,1082.391497
0,910.4490235
0,996.5438622
0,353.778226
0,782.7108275
0,1716.595418
0,502.8986384
0,1033.468469
0,0
0,1087.083499
0,1047.244249
0,1056.927353
0,979.2244246
0,847.8187063
0,781.7712848
0,402.4888868
0,204.7401817
0,2022.674643
0,748.9370638
0,838.2756878
0,386.0160493
0,812.3992965
0,1809.926564
0,0
0,1328.183804
0,1464.936049
0,1200.565138
0,989.68642
0,870.7345799
0,1200.84739
0,1428.832047
0,0
0,359.4588665
0,265.6839498
0,1027.770532
0,729.0474335
0,1042.80492
0,230.2305879
0,367.4660122
0,737.7053539
0,18.26128536
0,1257.760209
0,455.5215132
0,56.96756035
0,723.9319853
0,612.3831577
0,1220.177606
0,1222.347692
0,1165.491138
1,1642.819997
0,944.17356
0,749.6080039
0,370.3751868
1,1991.64912
0,773.9152266
0,817.2498113
0,1060.71622
1,1550.449264
0,454.4669622
0,1256.239325
0,1484.395393
0,1050.477328
0,986.4006189
0,717.341927
0,692.1432227
1,1328.892725
0,673.4681911
0,218.639297
0,1218.166966
0,13.51680255
0,531.4786999
0,165.5381517
0,1351.849722
0,107.282083
0,947.1935714
0,434.5602592
0,1020.06724
0,662.305318
0,754.4206129
0,289.4895757
0,198.0384092
0,516.0604917
0,697.563809
0,502.3247835
0,1459.687083
0,716.9987227
0,1037.972705
0,673.0161172
0,371.9217847
0,89.13495796
0,1273.280181
0,600.723303
0,905.0381646
0,1061.441562
0,1672.639248
0,883.7026456
0,373.78033
0,1287.795187
0,1229.742571
0,510.613847
0,775.6301687
0,1152.982887
0,1303.66259
0,1675.278852
0,398.277733
0,739.9017594
0,226.4176965
0,1217.321712
0,639.8205582
0,883.1669769
0,2.287610953
0,419.6373477
0,1544.14025
0,1101.015018
1,1700.599913
0,311.8245869
0,442.8302223
0,728.8149601
0,278.8779025
0,758.7023275
0,620.3396794
0,1890.167411
0,0
0,1329.198842
0,1075.863772
0,618.5275092
0,1111.086576
0,864.0397435
0,895.2298096
0,954.0304337
0,947.6349327
0,267.3037277
0,1366.805783
0,624.7318835
0,13.67938267
0,785.8664857
0,1353.093846
0,480.3212639
0,0
0,1221.971243
0,1184.936523
0,478.5720556
0,221.6904619
0,578.3876217
0,1361.458432
0,977.8480956
0,1184.425245
1,1118.701039
1,1119.097245
0,776.3499793
0,1322.297091
0,878.0264576
0,1268.379515
0,0
0,0
0,366.7869573
0,747.5610364
0,1787.285144
0,1929.44698
0,987.142891
0,856.3573684
0,1101.149707
0,704.18452
0,555.6234367
0,1073.498261
0,1126.223023
0,649.7733186
0,977.657621
0,1049.889964
0,1383.566333
0,1095.46574
0,1089.371791
0,605.2209683
0,1033.885399
0,1604.720554
0,826.3270259
0,1176.146823
0,1275.023199
0,1290.28314
0,1133.474199
0,837.4125669
0,379.0821667
0,1134.166278
0,0
0,1491.174803
0,1695.359586
0,705.5733276
0,239.1933663
0,1183.710641
0,898.7618389
0,1524.2904
0,777.0237374
0,1394.795819
0,0
0,62.57157516
1,1981.451815
0,514.0540348
0,722.788039
0,152.8663042
0,293.1847729
0,0
0,645.3668572
0,1515.152833
0,767.4395055
0,491.8797471
0,0
0,0
0,509.1551641
0,965.5873701
0,1868.540072
0,403.4972058
0,593.1436251
0,0
0,742.2900159
0,1110.100457
0,771.5512953
0,624.3388915
0,499.9572298
0,1088.63752
0,1556.491928
0,797.0843357
0,415.9925026
0,538.2326812
0,1181.934702
0,836.0206886
0,104.4432151
0,564.2094786
0,804.5394022
0,1028.95364
0,748.7465837
0,66.63208073
0,452.8022289
0,798.4605101
0,1941.902928
0,1446.101012
0,761.0640983
0,1350.172728
0,380.9502006
0,1602.849607
0,147.6101155
0,0
0,733.0725124
0,1082.747976
0,779.6573003
0,994.1587122
0,769.1813741
0,684.0985191
0,442.5633017
1,1717.071593
0,0
0,1092.345865
0,497.3349541
0,1149.680655
1,1465.210164
0,565.3176042
0,922.1378905
0,175.5993806
0,1024.946819
0,596.8854323
0,750.4104842
0,790.8700274
0,112.3278725
0,738.3944873
0,1157.855561
0,1213.243149
0,1339.626204
0,588.3124302
0,721.8081325
0,680.820719
0,815.4065709
0,1042.507112
0,663.2498681
0,1478.618545
0,337.756754
0,1273.55072
0,114.1797259
0,0
0,1516.317689
0,898.1146731
0,790.5905821
0,0
0,1273.24483
0,1279.200448
0,732.7193809
1,1763.579088
0,1280.418448
0,1529.937995
0,345.4676365
0,197.9894038
1,1770.969441
0,639.3719435
0,238.8146439
0,390.5558431
0,830.1715111
0,1378.876076
0,242.4034493
0,1236.547494
0,1063.774937
0,126.923179
0,758.4655013
0,908.9314586
0,558.5183424
0,1819.242333
0,1110.681744
0,723.2433747
0,972.031864
0,696.0144306
0,1178.248909
0,329.5585109
0,792.5292385
0,1246.037758
0,591.7607765
0,244.0811388
0,1038.54836
0,679.0745868
0,1061.415836
0,1268.240691
0,955.5336858
0,1115.82063
0,601.1632606
0,1097.600039
0,1042.783073
0,1321.443053
0,1052.39326
0,687.9517011
0,566.4605126
0,769.414224
0,955.1353421
0,643.4095265
0,0
0,437.6360626
0,1278.865642
0,1639.390572
0,891.6437373
0,316.4590483
0,622.9295074
0,107.2775268
0,990.5432158
0,0
0,0
0,591.2184873
